"id","firstname","lastname","height","weight","GENDER"
"1","Stacey","Miller","1.68","92.0","d"
"2","Carla","Gentry","1.68","85.4","d"
"3","Emma","Harding","1.75","98.2","d"
"4","Jeanette","Lopez",,"73.8","d"
"5","Edward","White","1.63",,"d"
"6","Erika","Carter","1.82","75.5","d"
"7","John","Holmes","1.80","77.0","d"
"8","Zachary","Kline","1.66","64.5","d"
"9","Christopher","Todd","1.70","86.9","d"
"10","Brian","Brown","1.92","61.4","d"
"11","Tracy","Smith",,,"d"
"12","Cameron","Grant","1.62","69.3","d"
"13","Sarah","Kelly","1.64","83.7","d"
"14","Jennifer","Hanson","1.51","59.2","d"
"15","Thomas","Graham","1.83","69.4","d"
"16","John","Blackburn",,"77.0","d"
"17","Daniel","Copeland","1.80","70.6","d"
"18","Bethany","Kaufman","1.80","77.0","d"
"19","Angelica","Dominguez","1.80","53.8","d"
"20","Leslie","Cervantes","1.68","99.9","d"
"21","Kathryn","Greene","1.78","68.9","d"
"22","Jesse","Wilson","1.59","82.2","d"
"23","Mary","Dickerson","1.91","95.4","d"
"24","Janice","King","1.73","92.7","d"
"25","Amber","Ward","1.65","54.7","d"
"26","Kimberly","Brooks","1.79","96.5","d"
"27","Tiffany","Brown","1.67","88.9","d"
"28","Norma","Taylor","1.51","59.9","d"
"29","Margaret","Evans","1.96","86.5","d"
"30","Pamela","Paul","1.63","94.7","d"
"31","Erin","Scott","1.60","61.1","d"
"32","Donald","Juarez","1.68","77.0","d"
"33","Frank","Perez","1.76","69.2","d"
"34","Dawn","Green","1.82","73.6","d"
"35","Elizabeth","Harris","1.54","96.0","d"
"36","Rachel","Johnson","1.80","77.0","d"
"37","Javier","Sweeney","1.65","72.2","d"
"38","Rhonda","Clark","1.61","65.6","d"
"39","Kimberly","Jones","1.97","73.4","d"
"40","Michelle","Lopez","1.63","62.3","d"
"41","Robert","Green","1.99","72.4","d"
"42","Frank","Parker","1.86","78.5","d"
"43","Roy","Riggs","1.51","77.0","d"
"44","Wendy","Hensley","1.59","78.5","d"
"45","Christopher","Garcia","1.62","62.2","d"
"46","Olivia","Porter","1.65","53.1","d"
"47","Mary","Myers","1.99","73.4","d"
"48","Joshua","Vaughn","1.80","77.0","d"
"49","Brandon","Perez","1.78","77.0","d"
"50","Elijah","Jones","1.84","98.7","d"
"51","Cheryl","Young","1.95","90.4","d"
"52","Julian","Smith","1.88","76.6","d"
"53","Charles","George","1.88","94.1","d"
"54","Nicholas","Weber","1.66","62.4","d"
"55","Stacie","Gaines","1.59","92.6","d"
"56","Steven","White","1.55","96.1","d"
"57","Debra","Taylor","1.87","76.7","d"
"58","Jason","Howard","1.51","69.0","d"
"59","Michael","Hernandez","1.89","71.5","d"
"60","Christine","Singh","1.74","89.7","d"
"61","Jesse","Smith","1.53","68.7","d"
"62","Julie","Reeves","1.83","59.0","d"
"63","Lawrence","Shannon","1.80","77.0","d"
"64","Susan","Beard","1.72","87.4","d"
"65","Donald","Harris","1.80","77.0","d"
"66","Jenny","Frazier","1.98","93.5","d"
"67","Shelley","Rodriguez","1.88","79.3","d"
"68","Zachary","Glover","1.56","54.6","d"
"69","Michael","Guzman","1.80","53.4","d"
"70","Richard","Mcdaniel","1.86","88.2","d"
"71","Elizabeth","Harding","1.80","77.0","d"
"72","Zachary","Moody","1.59","85.2","d"
"73","Alyssa","Carter","1.61","89.1","d"
"74","James","Delgado","1.98","97.0","d"
"75","Rebecca","Orozco","1.71","75.9","d"
"76","Todd","Roman","1.72","67.5","d"
"77","Ryan","Lane","1.97","51.6","d"
"78","Cassandra","Gregory","1.80","51.5","d"
"79","Rebecca","Jensen","1.54","73.1","d"
"80","Autumn","Watson","1.94","89.7","d"
"81","Luis","Miller","1.92","83.1","d"
"82","Madison","Smith","1.68","92.9","d"
"83","Chris","Jones","1.58","95.3","d"
"84","David","Martinez","1.59","64.8","d"
"85","Jessica","Allen","1.98","97.3","d"
"86","Stacey","Jones","1.84","96.1","d"
"87","Emma","Ross","1.66","58.6","d"
"88","Laura","Myers","1.80","77.0","d"
"89","Amanda","Smith","1.85","90.7","d"
"90","Tami","Cooke","1.53","58.7","d"
"91","George","Jones","1.91","51.8","d"
"92","Denise","Morales","1.82","67.4","d"
"93","Amber","Smith","1.77","76.5","d"
"94","Louis","Campbell","1.57","63.1","d"
"95","Philip","Moreno","1.80","77.0","d"
"96","Jacqueline","Morris","1.54","99.8","d"
"97","Laura","Smith","1.66","50.1","d"
"98","Steven","Parrish","1.68","99.0","d"
"99","Stephen","Juarez","1.82","93.3","d"
"100","Courtney","Cruz","1.59","75.1","d"
