,Name,Weight,Height,Bmi,BMI Category
0,Anna Neumann,55.8,165.0,20.495867768595044,normalweight
1,Ben Wagner,78.6,180.0,24.259259259259256,normalweight
2,Carla Weber,60.5,183.0,18.06563349159425,underweight
3,David Schmidt,85.5,185.0,24.981738495252007,normalweight
4,Elena Zimmermann,52.5,160.0,20.507812499999996,normalweight
5,Felix Schäfer,90.5,190.0,25.06925207756233,overweight
6,Gina Zimmermann,65.6,172.0,22.174148188209845,normalweight
7,Hannes Hoffmann,72.4,178.0,22.850650170433028,normalweight
8,Isabel Koch,58.8,167.0,21.083581340313383,normalweight
9,Jonas Bauer,80.3,182.0,24.242241275208304,normalweight
10,Klara Schäfer,56.7,166.0,20.57628102772536,normalweight
11,Lukas Fischer,76.4,179.0,23.844449299335228,normalweight
12,Maria Weber,62.1,171.0,21.23730378578024,normalweight
13,Nico Wolf,81.8,187.0,23.39214733049272,normalweight
14,Olivia Schäfer,81.8,183.0,24.42593090268446,normalweight
15,Paul Müller,79.2,181.0,24.175086230579044,normalweight
16,Quinn Neumann,68.8,175.0,22.46530612244898,normalweight
17,Ronja Müller,81.8,176.0,26.40754132231405,overweight
18,Samuel Schröder,83.7,184.0,24.722353497164463,normalweight
19,Tina Fischer,59.7,168.0,21.152210884353746,normalweight
